동경산책 서울대입구점	음식점>일식>일식당	서울특별시 관악구 관악로14길 30	1269542000	374789029
쭈앤쭈 서울대본점	한식>주꾸미요리	서울특별시 관악구 관악로14길 11	1269532191	374792455
백소정 서울대입구역점	음식점>일식>돈가스	서울특별시 관악구 관악로 164	1269526926	374794897
킷사서울	음식점>일식>일식당	서울특별시 관악구 남부순환로226길 31	1269537873	374792338
정남옥 서울대입구점	한식>순대,순댓국	서울특별시 관악구 관악로 148	1269525926	374785394
채우동 본점	음식점>일식>우동,소바	서울특별시 관악구 남부순환로226길 23-7	1269539197	374798716
청국장과보리밥 봉천점	한식>보리밥	서울특별시 관악구 관악로24길 80	1269579833	374861058
고시고시 서울대입구역본점	음식점>일식>일식당	서울특별시 관악구 남부순환로 1820	1269520229	374811436
가마메시 서울대입구역점	음식점>한식	서울특별시 관악구 남부순환로226길 13	1269539397	374799444
등촌샤브칼국수 신림점	음식점>한식>칼국수,만두	서울특별시 관악구 신림로 309	1269296546	374820185
신림춘천집 본점	음식점>한식	서울특별시 관악구 남부순환로 1600-8	1269287636	374836279
막불감동	한식>냉면	서울특별시 관악구 남부순환로 1599	1269282701	374842899
송씨제육	한식>백반,가정식	서울특별시 관악구 봉천로 230	1269271290	374893483
해방촌 부대찌개 타임스트림점	한식>찌개,전골	서울특별시 관악구 신림로 330	1269301735	374838356
함지박치즈등갈비 신림본점	한식>육류,고기요리	서울특별시 관악구 신림로65길 38	1269273739	374849215
운산국밥 신림점	한식>국밥	서울특별시 관악구 신림로59길 8	1269293508	374830855
매운향솥	중식>중식당	서울특별시 광진구 동일로18길 61	1270662637	375391111
고베규카츠 건대점	음식점>일식>돈가스	서울특별시 광진구 능동로13길 19	1270708469	375428929
고로고로 성수	음식점>일식>일식당	서울특별시 성동구 아차산로13길 16	1270613559	375447859
핵밥 건대본점	음식점>일식>덮밥	서울특별시 광진구 능동로 127	1270714384	375422709
죠죠 성수점	음식점>일식>일식당	서울특별시 성동구 연무장17길 7	1270609786	375414821
코노하 건대점	음식점>일식>일본식라면	서울특별시 광진구 능동로13길 19	1270708469	375428929
엠브로돈까스 건대점	음식점>일식>돈가스	서울특별시 광진구 능동로 139	1270719640	375432930
77년생 곱도리 전골식당 건대직영점	음식점>한식	서울특별시 광진구 동일로24길 70	1270687772	375428699
부대찌개대사관 구로디지털본점	한식>찌개,전골	서울특별시 구로구 디지털로33길 12	1268959214	374864437
상무초밥 구로디지털점	음식점>일식>초밥,롤	서울특별시 관악구 시흥대로 568	1269023176	374834075
신림춘천집 구로디지털 직영점	음식점>한식	서울특별시 구로구 디지털로32나길 17-23	1268998615	374840596
5.13낙곱새 구로디지털직영점	한식>곱창,막창,양	서울특별시 구로구 디지털로 288	1268956955	374841335
프레퍼스 다이어트 푸드 구로디지털단지점	도시락,컵밥>다이어트,샐러드	서울특별시 구로구 디지털로 300	1268966693	374852584
마장동김씨 구로디지털점	음식점>한식>육류,고기요리	서울특별시 구로구 디지털로32나길 17-23	1268998615	374840596
국밥장인 구로디지털점	한식>국밥	서울특별시 구로구 시흥대로 565	1269015620	374834993
능두네 구로디지털단지역 직영점	음식점>태국음식	서울특별시 구로구 디지털로 300	1268966116	374850307
99육회본가 본점	음식점>한식	서울특별시 구로구 디지털로32길 91	1269003333	374831756
봉고기	한식>육류,고기요리	서울특별시 구로구 경인로 619-3	1268838985	375068693
문래 골목집	한식>오리요리	서울특별시 영등포구 도림로125길 34	1268931051	375133865
